SU,28-Dec-99,, 
0,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
1, 41353.560, 10382.520, 516.163, ( 115)
1, 41345.720, 10384.860, 516.447, ( 116)
1, 41338.040, 10387.630, 516.544, ( 117)
1, 41334.220, 10389.850, 516.596, ( 118)
1, 41327.460, 10395.780, 516.753, ( 119)
1, 41320.290, 10401.010, 516.896, ( 120)
1, 41311.080, 10405.840, 516.936, ( 121)
1, 41306.510, 10408.290, 517.001, ( 122)
1, 41298.280, 10409.970, 516.843, ( 123)
1, 41291.710, 10411.740, 517.152, ( 124)
1, 41285.730, 10413.490, 517.254, ( 125)
1, 41277.520, 10416.390, 517.330, ( 126)
1, 41268.600, 10419.310, 517.444, ( 127)
1, 41259.200, 10421.570, 517.480, ( 128)
1, 41250.610, 10423.530, 517.175, ( 129)
1, 41242.290, 10425.240, 517.716, ( 130)
1, 41232.300, 10425.730, 517.956, ( 131)
1, 41222.570, 10425.690, 517.676, ( 132)
1, 41214.610, 10426.110, 518.010, ( 133)
1, 41206.570, 10426.450, 517.732, ( 134)
1, 41198.740, 10426.930, 517.464, (   2)
0, 0.000, 0.000, 0.000,
2, 41312.780, 10243.620, 512.727, (   1)
2, 41321.160, 10242.860, 512.388, ( 197)
2, 41329.060, 10242.170, 512.247, ( 196)
2, 41339.070, 10241.410, 511.972, ( 195)
2, 41349.430, 10239.930, 512.133, ( 194)
2, 41362.810, 10238.940, 512.251, ( 193)
2, 41376.880, 10237.520, 512.263, ( 192)
2, 41388.810, 10236.420, 512.117, ( 191)
2, 41399.250, 10236.130, 512.038, ( 190)
2, 41412.320, 10236.690, 512.008, ( 189)
2, 41425.300, 10237.670, 511.940, ( 188)
2, 41437.210, 10238.780, 511.962, ( 187)
2, 41445.450, 10240.100, 512.070, ( 186)
2, 41450.920, 10242.250, 512.056, ( 185)
2, 41462.860, 10248.240, 512.265, ( 184)
2, 41472.280, 10254.210, 512.430, ( 183)
2, 41481.130, 10261.800, 512.461, ( 182)
2, 41487.110, 10270.390, 512.316, ( 181)
2, 41489.990, 10279.710, 512.303, ( 180)
2, 41490.290, 10288.840, 512.149, ( 179)
2, 41488.060, 10297.250, 512.076, ( 178)
2, 41483.710, 10305.550, 512.150, ( 177)
2, 41477.950, 10312.730, 512.100, ( 176)
2, 41470.530, 10320.250, 511.971, ( 175)
2, 41461.430, 10329.640, 511.970, ( 174)
2, 41452.810, 10338.800, 511.952, ( 173)
2, 41443.970, 10348.070, 512.039, ( 172)
2, 41436.340, 10354.620, 511.855, ( 171)
2, 41428.450, 10360.320, 511.876, ( 170)
2, 41419.540, 10365.200, 511.857, ( 169)
2, 41410.410, 10368.880, 511.879, ( 168)
2, 41399.250, 10371.800, 512.012, ( 167)
2, 41386.920, 10373.980, 511.988, ( 166)
2, 41373.500, 10375.580, 511.988, ( 165)
2, 41359.920, 10377.460, 511.741, ( 164)
2, 41350.110, 10379.430, 511.815, ( 163)
2, 41341.550, 10382.140, 511.804, ( 162)
2, 41334.720, 10385.210, 511.917, ( 161)
2, 41328.910, 10389.740, 511.882, ( 160)
2, 41320.960, 10395.810, 511.900, ( 159)
2, 41315.370, 10398.900, 511.841, ( 158)
2, 41302.740, 10404.110, 511.908, ( 157)
2, 41290.910, 10407.420, 511.950, ( 156)
2, 41277.900, 10411.200, 511.877, ( 155)
2, 41264.060, 10414.970, 511.863, ( 154)
2, 41249.630, 10418.110, 511.884, ( 153)
2, 41240.210, 10419.760, 511.928, ( 152)
2, 41224.750, 10421.100, 511.961, ( 151)
2, 41211.420, 10421.250, 511.974, ( 150)
2, 41196.590, 10422.420, 512.175, ( 149)
2, 41181.030, 10422.570, 512.106, ( 148)
2, 41167.170, 10422.420, 512.148, ( 147)
2, 41153.530, 10423.150, 512.224, ( 146)
2, 41139.660, 10423.320, 512.574, ( 145)
2, 41127.890, 10422.870, 512.219, ( 144)
2, 41115.090, 10422.240, 512.247, ( 143)
2, 41101.120, 10420.940, 512.189, ( 142)
2, 41085.220, 10418.440, 512.133, ( 141)
2, 41072.260, 10416.140, 511.977, ( 140)
2, 41060.240, 10413.540, 512.200, ( 139)
2, 41050.660, 10410.900, 512.244, ( 138)
2, 41042.370, 10407.300, 512.169, ( 137)
2, 41033.060, 10401.640, 512.202, ( 136)
2, 41023.410, 10394.440, 512.023, ( 135)
2, 41013.790, 10387.670, 512.077, ( 134)
2, 41005.050, 10380.560, 512.072, ( 133)
2, 40998.620, 10373.210, 512.050, ( 132)
2, 40993.530, 10364.970, 512.230, ( 131)
2, 40989.820, 10356.250, 512.405, ( 130)
2, 40988.600, 10348.770, 512.452, ( 129)
