StrId, X, Y, Z, C:\DeltaCad\Isometric\Pit.csv: 1377 conversions out of 1377 segments
1, 41156.190, 10429.080, 517.900
1, 41166.560, 10428.280, 517.425
0, 0.000, 0.000, 0.000
1, 41160.210, 10273.420, 520.450
1, 41168.540, 10273.230, 520.509
0, 0.000, 0.000, 0.000
1, 41166.560, 10428.280, 517.425
1, 41177.080, 10427.920, 517.154
0, 0.000, 0.000, 0.000
1, 41168.540, 10273.230, 520.509
1, 41175.930, 10272.670, 520.343
0, 0.000, 0.000, 0.000
1, 41175.930, 10272.670, 520.343
1, 41181.870, 10272.140, 520.427
0, 0.000, 0.000, 0.000
1, 41177.080, 10427.920, 517.154
1, 41187.660, 10427.740, 516.859
0, 0.000, 0.000, 0.000
1, 41181.870, 10272.140, 520.427
1, 41191.850, 10271.180, 520.310
0, 0.000, 0.000, 0.000
1, 41187.660, 10427.740, 516.859
1, 41198.740, 10426.930, 517.464
0, 0.000, 0.000, 0.000
1, 41191.850, 10271.180, 520.310
1, 41203.210, 10270.210, 520.078
0, 0.000, 0.000, 0.000
1, 41198.740, 10426.930, 517.464
1, 41206.570, 10426.450, 517.732
0, 0.000, 0.000, 0.000
1, 41203.210, 10270.210, 520.078
1, 41211.340, 10269.100, 519.930
0, 0.000, 0.000, 0.000
1, 41206.570, 10426.450, 517.732
1, 41214.610, 10426.110, 518.010
0, 0.000, 0.000, 0.000
1, 41211.340, 10269.100, 519.930
1, 41223.850, 10267.310, 519.397
0, 0.000, 0.000, 0.000
1, 41214.610, 10426.110, 518.010
1, 41222.570, 10425.690, 517.676
0, 0.000, 0.000, 0.000
1, 41220.310, 10247.100, 520.089
1, 41223.850, 10267.310, 519.397
0, 0.000, 0.000, 0.000
1, 41220.310, 10247.100, 520.089
1, 41227.390, 10246.720, 519.648
0, 0.000, 0.000, 0.000
1, 41222.570, 10425.690, 517.676
1, 41232.300, 10425.730, 517.956
0, 0.000, 0.000, 0.000
1, 41227.390, 10246.720, 519.648
1, 41231.870, 10246.570, 519.298
0, 0.000, 0.000, 0.000
1, 41231.870, 10246.570, 519.298
1, 41235.770, 10246.130, 518.520
0, 0.000, 0.000, 0.000
1, 41232.300, 10425.730, 517.956
1, 41242.290, 10425.240, 517.716
0, 0.000, 0.000, 0.000
1, 41235.770, 10246.130, 518.520
1, 41254.400, 10243.500, 517.627
0, 0.000, 0.000, 0.000
1, 41242.290, 10425.240, 517.716
1, 41250.610, 10423.530, 517.175
0, 0.000, 0.000, 0.000
1, 41250.610, 10423.530, 517.175
1, 41259.200, 10421.570, 517.480
0, 0.000, 0.000, 0.000
1, 41254.400, 10243.500, 517.627
1, 41257.340, 10243.430, 518.822
0, 0.000, 0.000, 0.000
1, 41257.340, 10243.430, 518.822
1, 41266.200, 10242.800, 518.803
0, 0.000, 0.000, 0.000
1, 41259.200, 10421.570, 517.480
1, 41268.600, 10419.310, 517.444
0, 0.000, 0.000, 0.000
1, 41266.200, 10242.800, 518.803
1, 41276.740, 10241.180, 518.528
0, 0.000, 0.000, 0.000
1, 41268.600, 10419.310, 517.444
1, 41277.520, 10416.390, 517.330
0, 0.000, 0.000, 0.000
1, 41276.740, 10241.180, 518.528
1, 41287.300, 10239.970, 518.122
0, 0.000, 0.000, 0.000
1, 41277.520, 10416.390, 517.330
1, 41285.730, 10413.490, 517.254
0, 0.000, 0.000, 0.000
1, 41285.730, 10413.490, 517.254
1, 41291.710, 10411.740, 517.152
0, 0.000, 0.000, 0.000
1, 41287.300, 10239.970, 518.122
1, 41298.900, 10239.410, 517.902
0, 0.000, 0.000, 0.000
1, 41291.710, 10411.740, 517.152
1, 41298.280, 10409.970, 516.843
0, 0.000, 0.000, 0.000
1, 41298.280, 10409.970, 516.843
1, 41306.510, 10408.290, 517.001
0, 0.000, 0.000, 0.000
1, 41298.900, 10239.410, 517.902
1, 41307.030, 10239.360, 517.903
0, 0.000, 0.000, 0.000
1, 41306.510, 10408.290, 517.001
1, 41311.080, 10405.840, 516.936
0, 0.000, 0.000, 0.000
1, 41307.030, 10239.360, 517.903
1, 41315.460, 10238.610, 517.639
0, 0.000, 0.000, 0.000
1, 41311.080, 10405.840, 516.936
1, 41320.290, 10401.010, 516.896
0, 0.000, 0.000, 0.000
1, 41315.460, 10238.610, 517.639
1, 41326.800, 10237.600, 517.615
0, 0.000, 0.000, 0.000
1, 41320.290, 10401.010, 516.896
1, 41327.460, 10395.780, 516.753
0, 0.000, 0.000, 0.000
1, 41326.800, 10237.600, 517.615
1, 41337.460, 10236.920, 517.552
0, 0.000, 0.000, 0.000
1, 41327.460, 10395.780, 516.753
1, 41334.220, 10389.850, 516.596
0, 0.000, 0.000, 0.000
1, 41333.170, 10320.530, 467.669
1, 41345.800, 10318.460, 467.417
0, 0.000, 0.000, 0.000
1, 41334.220, 10389.850, 516.596
1, 41338.040, 10387.630, 516.544
0, 0.000, 0.000, 0.000
1, 41337.460, 10236.920, 517.552
1, 41348.770, 10235.860, 517.620
0, 0.000, 0.000, 0.000
1, 41338.040, 10387.630, 516.544
1, 41345.720, 10384.860, 516.447
0, 0.000, 0.000, 0.000
1, 41345.720, 10384.860, 516.447
1, 41353.560, 10382.520, 516.163
0, 0.000, 0.000, 0.000
1, 41345.800, 10318.460, 467.417
1, 41359.360, 10314.810, 467.764
0, 0.000, 0.000, 0.000
1, 41348.770, 10235.860, 517.620
1, 41359.570, 10234.840, 517.754
0, 0.000, 0.000, 0.000
1, 41353.560, 10382.520, 516.163
1, 41361.250, 10381.060, 515.920
0, 0.000, 0.000, 0.000
1, 41359.360, 10314.810, 467.764
1, 41371.850, 10312.910, 467.094
0, 0.000, 0.000, 0.000
1, 41359.570, 10234.840, 517.754
1, 41369.400, 10233.810, 517.847
0, 0.000, 0.000, 0.000
1, 41361.250, 10381.060, 515.920
1, 41369.500, 10379.860, 515.711
0, 0.000, 0.000, 0.000
1, 41369.400, 10233.810, 517.847
1, 41379.670, 10232.790, 517.739
0, 0.000, 0.000, 0.000
1, 41369.500, 10379.860, 515.711
1, 41379.790, 10378.170, 515.461
0, 0.000, 0.000, 0.000
1, 41371.850, 10312.910, 467.094
1, 41384.770, 10311.550, 466.984
0, 0.000, 0.000, 0.000
1, 41379.670, 10232.790, 517.739
1, 41390.320, 10231.890, 517.686
0, 0.000, 0.000, 0.000
1, 41379.790, 10378.170, 515.461
1, 41389.970, 10376.500, 515.285
0, 0.000, 0.000, 0.000
1, 41389.970, 10376.500, 515.285
1, 41400.170, 10374.500, 515.197
0, 0.000, 0.000, 0.000
1, 41390.320, 10231.890, 517.686
1, 41400.190, 10231.140, 517.690
0, 0.000, 0.000, 0.000
